Program,StationName,StationCode,SampleDate,MethodName,Analyte,Unit,OriginalResult,CalculatedResult,MDL,ResultQualCode,DataQuality
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2016-04-14","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",12.1,12.1,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2016-04-07","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",25.3,25.3,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2016-03-29","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",83.6,83.6,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2016-03-10","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",107.6,107.6,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2016-03-03","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",24.3,24.3,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2016-01-28","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",165.8,165.8,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-12-29","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",59.4,59.4,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-12-22","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",196.8,196.8,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-12-17","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",32.7,32.7,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-12-10","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",275.5,275.5,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-12-03","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",104.6,104.6,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-11-24","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",57.3,57.3,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-11-19","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",15.8,15.8,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-11-12","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",35,35,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-11-05","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",33.1,33.1,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-10-29","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",307.6,307.6,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-10-22","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",52.1,52.1,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-10-15","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",75.9,75.9,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-10-06","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",105.4,105.4,-88,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-09-29","SM 9221 F","E. coli","MPN/100 mL",17,17,2,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-09-22","SM 9221 F","E. coli","MPN/100 mL",80,80,2,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-09-15","SM 9221 F","E. coli","MPN/100 mL",80,80,2,=,"Unknown data quality"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-08-20","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",13.4,13.4,-88,=,"Extensive review needed"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-08-13","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",48,48,-88,=,"Extensive review needed"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-08-06","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",22.6,22.6,-88,=,"Extensive review needed"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-07-30","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",86,86,-88,=,"Extensive review needed"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-07-23","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",31.3,31.3,-88,=,"Extensive review needed"
"Surface Water Ambient Monitoring Program","American River at Sutters Landing Regional Park left bank","519SAC104","2015-07-16","SM 9223 B-SOP ASWAU","E. coli","MPN/100 mL",105,105,-88,=,"Extensive review needed"
